date,product_id,store_id,category,price,promotion,holiday,past_sales,demand
2023-03-19,P012,S01,Clothing,749.23,0,0,115,125
2022-12-15,P030,S01,Food,99.19,0,0,137,168
2022-06-08,P018,S01,Electronics,366.18,0,0,163,167
2021-12-12,P014,S01,Food,626.13,1,0,160,130
2023-01-20,P009,S06,Electronics,799.29,0,0,122,155
2023-01-16,P027,S07,Electronics,118.7,0,0,58,26
2021-11-13,P020,S07,Electronics,46.07,0,0,58,79
2021-11-12,P026,S02,Food,742.6,0,0,77,50
2022-05-04,P002,S04,Electronics,406.1,0,0,74,46
2022-05-07,P005,S06,Electronics,220.25,0,0,172,164
2022-07-12,P002,S01,Electronics,707.9,0,0,90,123
2023-04-24,P006,S03,Clothing,628.34,0,0,151,180
2021-09-29,P029,S04,Clothing,561.32,0,0,30,59
2022-05-21,P016,S05,Clothing,99.78,1,0,173,189
2022-11-05,P013,S06,Clothing,332.39,0,0,171,164
2022-10-21,P010,S07,Clothing,381.94,1,0,68,63
2022-10-08,P022,S04,Clothing,256.39,0,0,125,131
2022-08-03,P019,S04,Clothing,590.68,0,0,89,89
2023-03-15,P016,S02,Electronics,670.72,0,0,101,136
2023-08-10,P026,S06,Electronics,270.63,1,0,126,107
2023-09-16,P001,S04,Food,300.95,1,0,189,220
2022-07-11,P011,S04,Food,618.82,0,0,194,178
2023-04-05,P012,S07,Electronics,171.2,0,0,122,149
2022-04-03,P026,S07,Clothing,672.06,0,0,178,183
2023-07-13,P012,S03,Food,349.85,0,0,19,45
2021-09-25,P028,S07,Electronics,237.19,0,0,44,45
2021-01-16,P003,S02,Food,511.88,0,0,91,70
2022-11-04,P002,S06,Clothing,274.07,0,0,134,113
2023-01-25,P026,S03,Food,471.76,0,0,109,110
2023-07-18,P016,S04,Electronics,734.28,0,0,11,24
2021-12-13,P006,S02,Food,361.32,0,0,12,52
2022-03-31,P009,S02,Clothing,785.54,0,0,163,143
2022-12-14,P028,S04,Food,626.69,0,0,176,158
2023-06-06,P014,S05,Clothing,776.0,0,0,141,123
2023-11-29,P023,S05,Electronics,37.55,0,1,204,166
2023-07-31,P014,S03,Clothing,635.98,1,0,262,238
2021-10-19,P028,S04,Electronics,301.3,1,0,249,235
2023-04-16,P022,S05,Food,592.85,0,0,139,161
2021-04-22,P019,S02,Electronics,414.13,0,0,169,177
2023-02-06,P027,S05,Electronics,682.96,0,0,123,140
2023-02-17,P018,S04,Electronics,709.81,1,0,149,162
2022-05-08,P022,S03,Food,240.61,0,0,162,157
2021-07-24,P030,S06,Clothing,316.93,0,0,123,153
2021-04-23,P011,S01,Electronics,19.05,0,0,50,63
2022-05-08,P013,S07,Food,434.98,0,0,161,183
2022-09-06,P010,S07,Clothing,595.14,0,0,140,157
2023-07-25,P008,S03,Electronics,700.08,0,0,92,69
2022-10-03,P024,S05,Clothing,795.79,0,0,121,89
2021-10-20,P024,S04,Clothing,86.01,0,0,78,77
2023-10-21,P013,S01,Food,86.89,1,0,44,79
2023-12-15,P014,S02,Electronics,45.51,1,0,193,229
2023-09-11,P021,S04,Electronics,318.33,0,0,25,57
2022-03-31,P026,S02,Clothing,394.15,0,0,49,27
2022-05-27,P026,S04,Electronics,197.77,0,0,51,73
2023-03-26,P010,S02,Electronics,371.31,0,0,151,188
2021-12-16,P005,S01,Electronics,154.72,1,0,266,257
2022-06-05,P008,S01,Clothing,680.3,1,0,178,169
2022-05-17,P005,S07,Food,207.14,0,0,186,178
2023-09-23,P030,S01,Food,258.13,0,0,62,85
2022-07-19,P013,S05,Electronics,28.72,0,0,82,109
2022-12-23,P022,S06,Food,257.14,0,1,174,204
2023-05-01,P005,S05,Electronics,408.3,0,0,115,154
2022-08-29,P030,S05,Electronics,718.36,0,0,110,101
2021-07-19,P009,S06,Clothing,239.33,0,0,1,40
2021-02-26,P018,S02,Food,206.66,0,0,63,72
2023-04-04,P021,S04,Clothing,607.95,0,0,153,152
2023-10-30,P001,S01,Clothing,329.33,1,0,242,251
2021-06-25,P021,S04,Food,146.86,1,0,212,179
2021-09-24,P007,S03,Food,703.3,0,0,98,79
2022-12-16,P022,S04,Clothing,88.17,0,0,224,201
2022-07-05,P003,S01,Food,23.4,0,0,111,94
2023-10-17,P027,S05,Electronics,488.95,0,0,82,74
2022-09-23,P029,S04,Electronics,304.88,0,0,75,102
2021-12-04,P021,S01,Food,198.66,1,0,206,176
2022-01-12,P009,S04,Electronics,420.0,0,0,10,47
2021-01-10,P015,S01,Clothing,398.93,1,0,207,224
2021-12-09,P023,S03,Food,787.73,0,0,146,181
2022-03-26,P005,S07,Clothing,82.1,0,0,89,86
2022-07-25,P005,S01,Electronics,682.29,0,0,57,74
2023-07-18,P012,S06,Food,619.02,1,0,133,164
2021-09-13,P027,S06,Electronics,677.95,1,0,87,92
2021-07-22,P008,S07,Food,700.29,0,0,128,149
2021-12-31,P008,S03,Food,710.95,0,1,90,91
2022-05-10,P016,S03,Clothing,109.75,1,0,155,157
2023-07-03,P029,S02,Clothing,170.14,0,0,37,68
2021-06-21,P028,S01,Clothing,374.69,0,0,69,95
2023-07-09,P030,S01,Food,377.66,1,0,255,268
2022-09-05,P002,S07,Food,500.05,0,0,64,88
2021-08-19,P028,S04,Clothing,6.84,0,0,90,126
2022-03-12,P014,S06,Electronics,507.66,0,0,31,46
2022-03-30,P022,S06,Clothing,481.76,0,0,87,100
2022-09-01,P006,S01,Food,37.0,0,0,181,162
2021-11-01,P030,S04,Clothing,245.47,0,0,168,149
2022-03-08,P013,S07,Food,409.6,0,0,121,110
2022-03-17,P011,S05,Clothing,105.02,1,0,158,146
2023-03-14,P020,S03,Electronics,162.26,0,0,24,45
2023-09-27,P021,S02,Electronics,115.23,0,0,102,70
2023-03-23,P007,S07,Food,762.57,0,0,107,97
2021-03-12,P010,S06,Electronics,549.92,1,0,288,258
2023-11-20,P019,S03,Food,683.92,0,1,153,154
2022-04-30,P019,S06,Electronics,730.57,0,0,119,81
2021-01-23,P023,S07,Food,387.08,0,0,169,158
2022-11-26,P009,S03,Clothing,330.94,1,1,239,211
2022-09-18,P006,S03,Electronics,639.02,0,0,43,22
2022-10-25,P004,S01,Food,158.11,1,0,138,129
2023-08-20,P028,S03,Electronics,114.71,0,0,232,202
2021-09-02,P020,S04,Food,145.2,0,0,47,47
2021-11-20,P021,S06,Food,799.54,0,1,182,164
2021-05-10,P030,S03,Clothing,342.7,1,0,132,144
2021-12-21,P024,S05,Food,336.25,0,1,267,243
2021-07-03,P015,S02,Electronics,703.86,1,0,222,220
2021-11-04,P003,S04,Electronics,351.87,0,0,62,50
2023-03-29,P025,S03,Electronics,689.34,0,0,65,40
2021-02-17,P003,S03,Food,209.67,0,0,121,101
2023-02-22,P014,S03,Electronics,170.66,0,0,70,104
2022-01-05,P006,S02,Food,321.81,0,0,84,72
2021-07-16,P014,S07,Food,780.6,0,0,66,89
2022-06-03,P020,S07,Food,455.3,0,0,94,78
2022-05-24,P001,S04,Clothing,391.52,0,0,46,26
2021-04-24,P025,S03,Electronics,220.2,0,0,131,126
2022-12-02,P021,S06,Electronics,173.76,0,0,47,74
2023-07-09,P027,S01,Clothing,748.76,1,0,159,153
2022-05-23,P006,S03,Electronics,83.83,1,0,164,190
2021-03-27,P005,S05,Electronics,291.8,1,0,218,237
2023-10-15,P019,S03,Food,744.08,1,0,83,114
2022-05-19,P019,S03,Food,604.65,0,0,65,26
2022-04-30,P002,S02,Electronics,759.17,0,0,64,91
2023-05-28,P030,S03,Clothing,776.85,0,0,108,102
2022-05-30,P004,S05,Electronics,87.11,0,0,82,94
2023-01-01,P013,S04,Clothing,741.78,0,0,79,93
2021-10-24,P014,S07,Clothing,528.71,0,0,117,130
2021-03-19,P012,S04,Electronics,579.88,0,0,47,42
2023-04-11,P023,S04,Food,742.37,0,0,33,69
2022-12-20,P029,S06,Food,465.29,1,1,225,211
2023-09-28,P017,S01,Food,682.46,0,0,0,16
2022-09-14,P024,S07,Food,301.58,0,0,62,90
2022-04-22,P024,S02,Clothing,772.51,0,0,80,105
2023-10-17,P018,S07,Electronics,85.38,0,0,184,179
2022-11-30,P030,S06,Clothing,299.14,0,1,207,184
2021-08-31,P026,S01,Electronics,700.1,1,0,153,156
2022-04-20,P021,S05,Clothing,304.5,0,0,54,58
2023-11-19,P016,S07,Electronics,154.84,0,0,126,91
2021-08-06,P013,S02,Food,69.18,0,0,197,187
2022-01-29,P013,S01,Electronics,430.01,0,0,64,101
2021-08-11,P022,S04,Food,40.87,0,0,72,103
2021-11-06,P002,S01,Electronics,430.24,0,0,182,191
2023-05-19,P014,S07,Food,251.97,1,0,133,96
2021-08-07,P003,S05,Food,664.87,0,0,192,157
2022-11-17,P004,S07,Clothing,437.08,0,0,193,177
2023-04-17,P015,S04,Electronics,292.47,0,0,79,113
2022-09-15,P024,S06,Food,491.72,1,0,135,159
2021-11-06,P030,S06,Clothing,749.26,0,0,33,70
2022-01-25,P005,S07,Electronics,457.01,0,0,47,37
2023-05-23,P007,S04,Clothing,691.99,0,0,105,138
2022-06-01,P007,S03,Food,305.76,0,0,84,110
2022-11-07,P010,S02,Clothing,350.63,1,0,226,253
2023-02-23,P029,S06,Electronics,400.63,0,0,63,69
2021-10-31,P030,S01,Clothing,340.3,1,0,161,183
2023-02-28,P020,S05,Food,377.86,0,0,4,40
2023-05-28,P025,S06,Food,345.4,0,0,156,146
2021-11-27,P011,S04,Clothing,768.67,0,1,204,180
2022-02-09,P016,S01,Clothing,176.32,0,0,130,155
2022-02-14,P019,S01,Food,221.71,1,0,177,205
2021-11-06,P006,S03,Clothing,706.85,0,0,66,92
2023-04-03,P011,S06,Electronics,222.38,0,0,124,120
2023-06-28,P022,S02,Clothing,626.86,0,0,23,28
2022-04-27,P025,S02,Electronics,145.2,0,0,61,82
2023-09-24,P023,S02,Electronics,109.06,0,0,89,100
2023-09-14,P008,S04,Food,400.86,0,0,196,157
2022-06-01,P019,S04,Food,634.2,0,0,144,183
2022-09-28,P015,S04,Clothing,456.69,0,0,89,121
2023-02-20,P007,S02,Food,795.89,0,0,118,133
2021-05-21,P013,S06,Clothing,751.35,0,0,42,59
2021-08-24,P006,S02,Electronics,759.69,0,0,43,29
2023-01-05,P006,S06,Food,215.45,0,0,69,55
2023-12-31,P025,S03,Electronics,771.79,0,1,112,118
2023-02-05,P008,S06,Food,305.76,0,0,125,165
2022-09-19,P018,S03,Electronics,170.36,0,0,178,211
2021-06-03,P012,S03,Electronics,155.12,1,0,237,239
2023-03-23,P026,S04,Clothing,786.47,0,0,144,111
2021-03-20,P008,S07,Food,82.74,0,0,126,152
2022-03-18,P014,S02,Food,726.55,0,0,45,64
2021-05-10,P008,S02,Food,324.63,1,0,103,112
2021-10-08,P002,S01,Clothing,627.41,1,0,131,103
2021-09-29,P026,S01,Electronics,694.6,0,0,73,53
2022-10-22,P004,S01,Food,584.06,0,0,142,140
2023-12-15,P023,S01,Food,233.84,1,0,284,284
2023-01-07,P016,S04,Electronics,630.58,0,0,141,123
2021-11-14,P021,S02,Electronics,637.21,0,0,166,133
2021-06-21,P030,S03,Clothing,381.78,0,0,89,97
2022-11-06,P027,S01,Food,309.31,0,0,89,105
2021-10-01,P024,S02,Clothing,528.49,0,0,52,75
2023-10-03,P022,S03,Clothing,48.89,0,0,104,142
2023-07-11,P012,S03,Electronics,601.02,0,0,197,178
2023-03-16,P027,S03,Clothing,624.52,1,0,97,135
2022-01-08,P029,S04,Clothing,596.48,0,0,121,126
2021-03-08,P020,S03,Food,650.34,0,0,8,37
2021-10-16,P030,S02,Food,269.07,1,0,189,222
2021-07-25,P004,S03,Food,63.88,1,0,140,134
2021-04-04,P024,S01,Food,512.58,0,0,120,125
2023-02-11,P011,S02,Electronics,638.27,0,0,81,102
2023-05-26,P026,S05,Clothing,685.85,1,0,136,152
2023-04-05,P007,S04,Food,239.54,0,0,148,144
2021-11-08,P019,S04,Clothing,112.39,0,0,175,161
2022-10-30,P003,S06,Clothing,73.94,1,0,195,176
2023-04-25,P008,S06,Clothing,609.54,0,0,154,145
2023-03-01,P028,S07,Clothing,483.59,0,0,103,102
2023-01-03,P015,S04,Clothing,377.31,0,0,158,184
2022-04-12,P007,S02,Electronics,348.4,0,0,12,50
2021-08-24,P018,S07,Food,138.06,0,0,69,58
2021-12-04,P013,S03,Electronics,725.1,0,0,187,160
2022-01-30,P030,S06,Electronics,204.09,0,0,117,78
2021-01-10,P030,S01,Clothing,688.68,0,0,101,99
2023-01-02,P025,S02,Clothing,788.57,0,0,86,63
2023-11-18,P009,S01,Clothing,450.82,0,0,86,94
2023-01-14,P023,S06,Electronics,106.14,1,0,169,174
2021-03-03,P007,S01,Clothing,21.82,0,0,174,162
2023-09-04,P009,S05,Electronics,467.47,1,0,25,53
2022-07-23,P019,S02,Clothing,62.08,0,0,72,112
2022-08-24,P006,S05,Clothing,124.28,1,0,282,265
2021-08-04,P018,S07,Clothing,243.72,0,0,178,201
2023-03-15,P002,S01,Food,19.66,0,0,100,92
2022-11-23,P024,S04,Food,86.72,0,1,221,242
2021-07-15,P002,S07,Clothing,334.07,1,0,151,117
2022-04-23,P007,S05,Electronics,740.35,0,0,202,181
2023-02-23,P030,S02,Food,442.51,1,0,207,198
2023-10-25,P019,S04,Clothing,127.1,0,0,130,112
2021-07-20,P026,S04,Clothing,253.21,0,0,95,106
2023-11-29,P006,S03,Clothing,754.34,0,1,133,105
2022-12-21,P012,S02,Electronics,496.84,0,1,214,199
2022-12-07,P030,S04,Electronics,540.99,0,0,60,62
2023-04-07,P023,S01,Electronics,677.33,0,0,43,48
2023-05-28,P029,S02,Electronics,708.65,0,0,88,116
2021-07-24,P021,S01,Electronics,116.13,0,0,57,56
2021-10-22,P009,S03,Clothing,302.11,0,0,0,31
2022-05-11,P008,S03,Electronics,649.19,0,0,91,84
2021-06-08,P001,S05,Electronics,339.92,1,0,206,171
2021-12-22,P001,S07,Food,231.42,0,1,224,190
2023-12-13,P030,S06,Clothing,439.86,1,0,162,123
2021-07-28,P001,S01,Food,262.5,0,0,107,110
2021-01-21,P004,S02,Food,216.32,0,0,35,42
2021-01-10,P028,S06,Food,210.77,0,0,102,107
2021-05-22,P009,S03,Electronics,426.93,0,0,159,175
2021-08-07,P001,S03,Electronics,545.63,1,0,128,147
2022-07-09,P011,S03,Food,375.87,0,0,86,81
2021-10-19,P007,S01,Electronics,35.99,0,0,185,206
2023-01-13,P023,S03,Food,749.84,0,0,48,31
2023-01-21,P030,S04,Electronics,417.74,0,0,90,81
2022-01-16,P001,S01,Electronics,36.45,1,0,256,275
2023-06-22,P001,S03,Electronics,306.0,0,0,67,81
2021-12-25,P003,S05,Electronics,606.54,0,1,83,83
2023-05-25,P016,S07,Food,612.98,0,0,54,60
2021-05-14,P024,S05,Electronics,743.75,1,0,262,241
2021-02-09,P003,S02,Electronics,617.3,0,0,156,128
2022-01-17,P003,S06,Clothing,38.75,0,0,91,100
2023-07-21,P013,S01,Electronics,715.53,0,0,179,179
2021-02-26,P013,S04,Clothing,125.68,0,0,73,80
2022-06-14,P025,S07,Food,628.85,0,0,29,58
2023-10-12,P016,S04,Food,469.41,0,0,33,64
2022-01-22,P017,S03,Electronics,480.3,0,0,144,144
2021-11-19,P008,S01,Electronics,749.96,0,0,121,136
2021-05-13,P018,S03,Clothing,129.25,1,0,241,245
2021-12-11,P027,S02,Food,74.77,1,0,250,215
2022-01-13,P010,S03,Clothing,335.85,1,0,146,166
2022-06-08,P022,S05,Electronics,524.72,0,0,7,40
2023-05-26,P029,S07,Food,113.49,0,0,177,175
2022-05-27,P009,S06,Electronics,207.37,0,0,28,48
2021-12-03,P019,S03,Electronics,429.45,0,0,109,102
2021-10-18,P029,S03,Food,635.97,1,0,212,197
2022-08-13,P030,S06,Electronics,451.8,1,0,164,164
2021-03-30,P022,S06,Clothing,491.89,0,0,198,169
2021-02-19,P002,S01,Electronics,688.97,0,0,68,93
2023-09-10,P011,S05,Electronics,79.4,0,0,119,144
2021-10-29,P009,S02,Food,490.36,0,0,155,192
2021-03-21,P022,S05,Electronics,584.95,0,0,13,16
2021-09-20,P015,S07,Electronics,419.76,0,0,133,102
2022-11-08,P030,S06,Electronics,148.66,0,0,35,62
2021-04-21,P023,S06,Food,30.91,1,0,128,162
2021-11-17,P008,S03,Electronics,162.5,0,0,237,231
2021-06-19,P012,S03,Electronics,345.57,0,0,176,187
2022-09-01,P018,S05,Electronics,59.96,0,0,52,35
2021-01-02,P002,S07,Food,75.7,1,0,305,277
2023-03-16,P008,S04,Clothing,637.44,0,0,159,120
2022-03-16,P005,S05,Electronics,384.73,0,0,193,179
2023-04-16,P008,S06,Electronics,419.55,0,0,85,101
2023-04-19,P008,S07,Electronics,698.32,0,0,89,74
2023-11-26,P026,S01,Electronics,11.85,1,1,228,190
2021-10-23,P002,S03,Electronics,475.75,0,0,110,150
2021-12-02,P018,S02,Electronics,155.65,1,0,290,283
2021-08-31,P024,S05,Food,645.59,1,0,200,217
2023-08-14,P010,S04,Clothing,779.8,0,0,178,180
2022-01-17,P004,S03,Clothing,58.56,0,0,41,66
2023-04-03,P023,S06,Food,581.93,1,0,87,77
2021-10-15,P023,S01,Food,471.01,0,0,189,153
2021-03-06,P018,S02,Clothing,606.12,0,0,90,114
2023-01-27,P017,S03,Clothing,44.01,0,0,134,128
2022-01-14,P020,S05,Clothing,633.24,0,0,131,123
2023-05-02,P004,S01,Clothing,699.02,0,0,63,56
2021-07-19,P007,S01,Food,476.8,0,0,157,162
2023-07-06,P026,S01,Clothing,297.74,1,0,217,242
2021-06-25,P012,S07,Clothing,191.7,1,0,260,235
2023-07-26,P012,S06,Food,93.1,0,0,161,169
2021-07-30,P002,S07,Food,420.1,0,0,223,198
2023-01-13,P015,S02,Clothing,760.64,0,0,0,26
2022-10-18,P029,S05,Clothing,515.64,0,0,160,191
2021-10-06,P003,S05,Food,120.94,1,0,161,184
2022-01-20,P005,S03,Electronics,502.8,0,0,162,129
2021-02-24,P028,S07,Clothing,498.02,0,0,123,162
2021-02-08,P029,S07,Food,304.94,1,0,208,208
2021-01-01,P014,S04,Electronics,424.4,0,0,53,80
2022-11-06,P010,S07,Clothing,401.93,0,0,70,88
2022-08-24,P021,S07,Electronics,373.66,1,0,135,121
2021-05-07,P023,S02,Clothing,319.87,1,0,206,194
2021-03-30,P030,S03,Clothing,602.05,0,0,17,8
2021-10-14,P021,S06,Electronics,741.31,1,0,169,203
2023-03-02,P006,S03,Clothing,270.82,1,0,54,62
2023-07-25,P024,S05,Clothing,103.91,0,0,164,197
2022-02-10,P013,S07,Food,331.91,0,0,214,194
2022-06-22,P001,S01,Clothing,189.88,0,0,92,62
2023-10-06,P025,S04,Food,220.55,0,0,140,112
2022-09-04,P025,S07,Food,767.88,1,0,251,246
2021-06-13,P013,S05,Electronics,234.4,1,0,237,238
2023-07-02,P027,S04,Clothing,345.73,0,0,162,137
2022-02-18,P006,S05,Food,462.02,0,0,183,153
2022-01-07,P022,S07,Clothing,677.84,0,0,166,141
2022-03-07,P023,S01,Food,318.57,0,0,90,112
2021-12-11,P026,S05,Electronics,200.55,0,0,147,116
2022-10-28,P003,S06,Clothing,493.35,0,0,115,118
2021-12-05,P018,S02,Clothing,655.18,0,0,148,124
2022-10-01,P026,S02,Clothing,231.82,0,0,78,65
2021-07-07,P008,S04,Food,308.14,0,0,153,124
2021-07-16,P005,S06,Electronics,317.67,0,0,185,183
2021-01-28,P012,S06,Food,377.38,0,0,132,159
2022-09-04,P020,S06,Electronics,203.49,1,0,221,243
2021-12-31,P016,S04,Electronics,447.41,0,1,243,255
2023-01-02,P013,S03,Food,628.84,1,0,116,85
2023-09-12,P001,S05,Clothing,270.6,0,0,63,89
2021-03-04,P016,S02,Clothing,79.02,0,0,170,149
2023-08-01,P011,S04,Electronics,153.4,0,0,159,181
2021-02-08,P022,S04,Electronics,706.25,0,0,170,155
2022-07-30,P021,S04,Clothing,735.69,1,0,132,167
2022-10-10,P029,S04,Clothing,673.69,0,0,106,83
2021-08-28,P027,S02,Food,287.01,0,0,6,26
2022-08-01,P005,S04,Electronics,512.04,0,0,62,47
2021-09-19,P021,S05,Food,311.4,0,0,137,118
2021-09-03,P030,S06,Clothing,503.28,0,0,192,171
2022-01-04,P030,S01,Electronics,478.71,1,0,144,158
2022-09-18,P022,S06,Electronics,40.75,0,0,31,68
2022-05-02,P001,S04,Electronics,479.4,0,0,106,123
2023-01-10,P021,S05,Food,784.7,0,0,0,11
2023-06-29,P025,S04,Electronics,363.72,0,0,183,169
2022-01-22,P020,S07,Electronics,300.51,1,0,172,178
2022-08-19,P014,S06,Electronics,472.32,1,0,143,122
2023-02-27,P012,S05,Clothing,652.96,0,0,107,72
2022-05-23,P020,S07,Food,369.03,0,0,76,91
2022-07-28,P004,S03,Electronics,331.3,0,0,61,99
2023-04-02,P019,S07,Electronics,203.39,1,0,170,189
2021-06-07,P013,S03,Electronics,133.69,1,0,167,181
2022-05-30,P017,S03,Electronics,753.39,1,0,88,117
2023-08-26,P030,S04,Clothing,789.43,1,0,145,169
2023-08-09,P019,S04,Electronics,745.34,1,0,131,141
2023-01-01,P020,S03,Electronics,738.68,0,0,158,187
2022-07-20,P017,S02,Clothing,128.21,1,0,180,218
2021-11-01,P022,S06,Electronics,133.03,0,0,222,215
2021-10-07,P021,S03,Electronics,559.34,0,0,135,130
2023-02-26,P027,S07,Clothing,260.66,1,0,201,241
2021-06-20,P030,S06,Food,139.07,0,0,56,71
2022-08-13,P024,S01,Food,127.09,0,0,230,197
2023-05-22,P016,S02,Electronics,14.39,1,0,187,164
2022-12-20,P030,S07,Clothing,209.43,0,1,91,109
2021-06-23,P018,S07,Clothing,522.4,1,0,123,123
2022-03-15,P025,S02,Food,574.32,0,0,121,139
2023-03-26,P003,S06,Electronics,196.83,1,0,218,246
2021-08-14,P019,S05,Food,251.09,0,0,148,151
2023-06-23,P020,S01,Food,82.97,0,0,61,82
2021-11-04,P023,S01,Food,474.04,1,0,137,117
2021-10-10,P009,S03,Food,560.06,0,0,213,178
2021-09-30,P003,S05,Electronics,317.63,0,0,77,72
2021-07-11,P010,S03,Electronics,688.45,0,0,70,47
2022-02-18,P002,S03,Electronics,788.36,0,0,25,65
2021-11-27,P006,S05,Electronics,739.8,0,1,190,171
2021-08-19,P030,S02,Clothing,735.34,1,0,100,133
2023-06-23,P020,S01,Clothing,398.95,0,0,156,179
2022-07-07,P009,S02,Clothing,199.36,0,0,127,132
2023-09-28,P013,S05,Food,361.52,1,0,136,111
2022-08-14,P022,S01,Food,273.3,0,0,167,186
2021-09-19,P007,S02,Clothing,625.83,0,0,23,47
2022-05-24,P014,S06,Food,700.48,0,0,138,101
2021-05-22,P014,S07,Electronics,315.27,0,0,86,50
2021-08-31,P006,S01,Food,514.55,0,0,201,190
2022-04-26,P006,S01,Electronics,207.87,0,0,173,177
2022-06-05,P019,S02,Clothing,220.14,0,0,68,82
2023-05-29,P010,S06,Electronics,158.44,0,0,130,115
2023-03-14,P029,S01,Food,83.16,1,0,179,159
2022-09-18,P026,S04,Food,304.35,0,0,75,36
2021-03-19,P002,S02,Clothing,589.39,0,0,125,151
2022-01-04,P001,S02,Electronics,103.41,1,0,152,187
2023-07-23,P002,S06,Electronics,785.87,0,0,178,161
2021-03-27,P019,S01,Electronics,154.91,1,0,269,231
2022-12-23,P021,S02,Food,544.02,1,1,248,259
2023-02-04,P001,S01,Food,209.58,0,0,68,104
2023-12-22,P003,S07,Food,118.92,0,1,168,206
2021-09-26,P017,S04,Clothing,313.5,0,0,120,148
2022-09-15,P028,S04,Food,733.76,0,0,144,151
2021-04-04,P001,S02,Electronics,80.81,0,0,85,62
2023-12-04,P018,S05,Food,287.07,1,0,134,148
2023-07-05,P009,S04,Food,557.96,1,0,280,266
2022-05-26,P006,S03,Clothing,354.28,1,0,138,171
2022-07-18,P005,S01,Food,231.47,0,0,99,68
2023-11-03,P017,S05,Electronics,96.29,0,0,231,207
2022-11-02,P027,S03,Food,444.65,0,0,91,129
2021-10-30,P025,S01,Electronics,454.43,1,0,74,59
2021-11-23,P003,S01,Electronics,186.32,1,1,313,277
2021-12-22,P005,S07,Clothing,515.12,0,1,276,251
2021-07-16,P015,S03,Electronics,88.68,0,0,106,124
2021-04-23,P003,S02,Clothing,504.64,0,0,35,41
2022-05-23,P011,S05,Clothing,395.79,0,0,164,144
2023-11-14,P015,S07,Electronics,754.29,0,0,162,123
2021-04-03,P022,S03,Electronics,25.27,0,0,70,36
2023-06-02,P029,S04,Clothing,237.06,1,0,156,188
